"Code","Name","Enabled","AdminUnit"
"","",1,All employees
"","",1,All portal users
AllowBpmnImportInProcessLibrary,AllowBpmnImportInProcessLibrary,1,All employees
AsyncEmailEventHandling,AsyncEmailEventHandling,1,All employees
AttachedImagesForCaseEstimationEmoticons,"",1,All employees
AttachedImagesForCaseEstimationEmoticons,"",1,All portal users
BETSegmentation717,"",1,All employees
BETSending717,"",1,All employees
BorderRadiusFeature,BorderRadiusFeature,,
BulkEmailAudienceImport,BulkEmailAudienceImport,1,All employees
BulkEmailDynamicContentBuilder,"",1,All employees
BulkEmailExtendedMacro,"",1,All employees
BulkEmailFacadeInCampaign,BulkEmailFacadeInCampaign,1,All employees
BulkEmailHyperlinksClicksChart,BulkEmailHyperlinksClicksChart,1,All employees
BulkEmailPause,BulkEmailPause,1,All employees
BulkEmailReplyTo,"",1,All employees
BulkEmailStop,BulkEmailStop,1,All employees
BulkEmailThrottlingQueue,BulkEmailThrottlingQueue,1,All employees
BulkEmailUX,BulkEmailUX,1,All employees
BulkLicenseDistribution,BulkLicenseDistribution,1,All employees
CalcTotalByFormula,"",1,All employees
CampaignAddModifyElements,CampaignAddModifyElements,1,All employees
CampaignAddToEventElement,"",1,All employees
CampaignAnalyticsHistory,"",1,All employees
CampaignAnalyticsInfoLabels,"",1,All employees
CampaignAudienceImport,"",1,All employees
CampaignBatchedQueries,CampaignBatchedQueries,1,All employees
CampaignConditionalTransitionDescription,"",1,All employees
CampaignDeduplicatorElement,"",1,All employees
CampaignElementTemplate,"",1,All employees
CampaignEventLandingElements,CampaignEventLandingElements,1,All employees
CampaignSignalRecurringEntrance,"",1,All employees
CampaignSplitGatewayElement,"",1,All employees
CampaignStartEventElement,"",1,All employees
CampaignStartLandingElement,"",1,All employees
CampaignStartSignalElement,CampaignStartSignalElement,1,All employees
CampaignViewerReadonlyPropertiesPage,"",1,All employees
CanUpdateHistoryMessage,CanUpdateHistoryMessage,1,All employees
CaseRuleApplier,CaseRuleApplier,0,All employees
CaseRuleApplier,CaseRuleApplier,0,All portal users
CaseStagesFromDCM,"",1,All employees
CategoryFromMailBox,CategoryFromMailBox,1,All employees
CategoryFromMailBox,CategoryFromMailBox,1,All portal users
ChangeEntityActivitiesAndProcessOwner,ChangeEntityActivitiesAndProcessOwner,1,All employees
ChangeEntityActivitiesAndProcessOwner,ChangeEntityActivitiesAndProcessOwner,1,All portal users
ChangeProductPrice,"",1,All employees
ChangeToAppropriateDcmInstance,ChangeToAppropriateDcmInstance,1,All employees
ChangeToAppropriateDcmInstance,ChangeToAppropriateDcmInstance,1,All portal users
CheckAndCloseAllCaseIntervals,"",1,All employees
